Date,Close,市值(元),流通市值(元),自由流通市值(元),pe,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2023-08-23,14244.07,=4149927505804.2598,=4115051224577,=1862514860930.8201,31.1256,=0.3813,=39.4678,=32.8555,=28.6467
2023-08-24,14641.88,=4253548526392.7100,=4217427491540,=1908859604611.1404,31.7013,=0.4285,=39.4678,=32.8555,=28.6467
2023-08-25,14578.31,=4255193721501.6802,=4219595543129,=1909283579697.3799,31.2529,=0.3948,=39.4678,=32.8554,=28.6467
2023-08-28,14519.75,=4249573395338.5200,=4213913280229,=1905829112221.8999,31.0624,=0.3755,=39.4469,=32.8546,=28.6506
2023-08-29,14772.06,=4305465693079.5098,=4269359867879,=1930047412654.7104,31.125,=0.3811,=39.4469,=32.8538,=28.6506
2023-08-30,14701.59,=4299861820919.9390,=4263310873830,=1926895297868.8201,30.9137,=0.3609,=39.4469,=32.8481,=28.6506
2023-08-31,14641.92,=4281298995422.7402,=4243645446416,=1916601199815.5305,30.7216,=0.3406,=39.4469,=32.8423,=28.6506
2023-09-01,14956.94,=4334754976949.2300,=4296499768416,=1940144986147.2800,31.4289,=0.4111,=39.4469,=32.8422,=28.6506
2023-09-04,15468.68,=4431198536518.8701,=4392859094065,=1983997732505.8799,32.8025,=0.4971,=39.4424,=32.8421,=28.6539
2023-09-05,15278.14,=4393622101641.5400,=4355653072689,=1967463791466.6997,32.3796,=0.4721,=39.4424,=32.8365,=28.6539
2023-09-06,15260.08,=4393789921290.7998,=4356111908776,=1967811474944.4700,32.382,=0.4724,=39.4424,=32.8310,=28.6539
2023-09-07,15049.13,=4335816115306.4990,=4298484770195,=1941384604005.1399,31.9654,=0.4460,=39.4424,=32.8280,=28.6539
2023-09-08,14964.43,=4301442951546.5298,=4264362518002,=1925309963264.0200,31.6485,=0.4263,=39.4424,=32.8250,=28.6539
2023-09-11,15072.74,=4325074506702.5601,=4287989779204,=1935842406770.8804,31.9182,=0.4417,=39.4265,=32.8238,=28.6556
2023-09-12,14944.58,=4303847349604.3599,=4266944148388,=1926137284001.9800,31.5912,=0.4221,=39.4265,=32.8227,=28.6556
2023-09-13,14969.48,=4308219439849.6011,=4271271371636,=1927878301808,31.6869,=0.4285,=39.4265,=32.8204,=28.6556
2023-09-14,14891.66,=4294396083739.4189,=4257410306460,=1921263079895.9905,31.4243,=0.4088,=39.4265,=32.8182,=28.6556
2023-09-15,14679.36,=4220568519407.4502,=4183940172561,=1887884262033.9004,31.069,=0.3759,=39.4265,=32.8116,=28.6556
2023-09-18,14825.91,=4298623390666.1001,=4261585366116,=1923274554619.6604,31.287,=0.3971,=39.4162,=32.8051,=28.6663
2023-09-19,14712.9,=4278319266448.9897,=4241577013777,=1914252570003.6304,30.981,=0.3665,=39.4162,=32.8038,=28.6663
