日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-07-07,=2130.1900,=2355.9100,=6110719563337.2393,=4778520666981,=3366798385758.2280,=32.7067,=0.3386,=50.1316,=36.6128,=29.9606
2025-07-04,=2156.2300,=2384.7200,=6185489938797.9121,=4841702614882,=3407988833254.9937,=32.9445,=0.3454,=50.2013,=36.6301,=29.9606
2025-07-03,=2164.0900,=2393.2000,=6203519304854.9678,=4857434891429,=3420848540839.0947,=33.2258,=0.3501,=50.2013,=36.6333,=29.9606
2025-07-02,=2123.7200,=2348.5600,=6093355144584.9199,=4761310251928,=3358205911962.5962,=32.8556,=0.3435,=50.2177,=36.6410,=29.9606
2025-07-01,=2147.9200,=2375.3200,=6164911989427.5996,=4817131634336,=3396609374695.1592,=33.0301,=0.3464,=50.2623,=36.6446,=29.9606
2025-06-30,=2153.0100,=2380.9200,=6183650034101.5723,=4813315068628,=3404920610480.9307,=33.0753,=0.3472,=50.2705,=36.6492,=29.9606
2025-06-27,=2124.3400,=2348.9900,=6096957035954.8135,=4753301810688,=3359502171569.7905,=32.5961,=0.3335,=50.3045,=36.6610,=29.9606
2025-06-26,=2114.4300,=2338.0200,=6075589817902.6211,=4734670895820,=3343392809429.9321,=32.4137,=0.3270,=50.3045,=36.6643,=29.9606
2025-06-25,=2128.3900,=2353.4600,=6116018769898.0811,=4765704168551,=3365957325220.6411,=32.6630,=0.3365,=50.3270,=36.6669,=29.9606
2025-06-24,=2064.1300,=2282.0800,=5944001343045.3398,=4629511857426,=3264684204221.1216,=32.2201,=0.3221,=50.3289,=36.6794,=29.9606
2025-06-23,=2017.6300,=2230.5300,=5824906837468.1406,=4528163225744,=3191899598594.9800,=31.5336,=0.2949,=50.3319,=36.6905,=29.9606
2025-06-20,=2009.8900,=2221.9700,=5804260263009.7920,=4515558450802,=3179983858900.5396,=31.3805,=0.2875,=50.3533,=36.6930,=29.9606
2025-06-19,=2026.8200,=2240.4000,=5856135700636.3301,=4553128841729,=3206256489205.9990,=31.5752,=0.2958,=50.4092,=36.6931,=29.9587
2025-06-18,=2054.7300,=2270.9600,=5942231262238.7793,=4615697805386,=3250367667951.2349,=31.9525,=0.3090,=50.4478,=36.6947,=29.9587
2025-06-17,=2049.9400,=2265.0200,=5927810985841.8809,=4609727840062,=3243082091249.8452,=31.9670,=0.3090,=50.5033,=36.6975,=29.9587
2025-06-16,=2057.3200,=2273.0300,=5956499715405.8896,=4630639491928,=3255228942971.0688,=32.0067,=0.2843,=50.5304,=36.7021,=29.9587
2025-06-13,=2043.8200,=2258.1100,=5791950225506.5791,=4540410135357,=3182625537390.7388,=31.1709,=0.2759,=50.6127,=36.7294,=29.9606
2025-06-12,=2067.1500,=2282.7100,=5840696324949.9814,=4593375974430,=3218725880749.3843,=31.7120,=0.3020,=50.7724,=36.7308,=29.9587
2025-06-11,=2061.8700,=2276.6500,=5829494656511.5283,=4581078969325,=3209968641332.8188,=31.6528,=0.2983,=50.7807,=36.7339,=29.9587
2025-06-10,=2037.2700,=2249,=5763399685307.3906,=4526566615537,=3172068513068.1528,=31.3694,=0.2859,=50.7896,=36.7392,=29.9587
2025-06-09,=2061.2900,=2275.4000,=5833921867449.5996,=4575615817597,=3208951357940.2578,=31.6719,=0.2995,=50.7951,=36.7493,=29.9587
2025-06-06,=2039.4400,=2251.0300,=5778112686082.1504,=4534564240850,=3174339584106.3140,=31.2066,=0.2768,=50.7991,=36.7586,=29.9606
2025-06-05,=2048.6200,=2260.5800,=5790976323608.1885,=4549527513218,=3188676699319.0493,=31.3108,=0.2835,=50.8292,=36.7623,=29.9587
2025-06-04,=2024.9300,=2234.4400,=5728626798753.7412,=4494355096516,=3151762662783.7705,=31.1001,=0.2715,=50.8461,=36.7704,=29.9587
