日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2009-12-25,=3444.6880,,=2436592812450.5005,=1612875335364,=865428544179.2639,=32.3741,=0.9385,=28.4639,=18.8673,=11.6729
2009-12-24,=3452.8600,,=2442353291368.7002,=1617021701062,=867426831004.7959,=32.3837,=0.9409,=28.4467,=18.8620,=11.6729
2009-12-23,=3318.3360,,=2349423145124.7012,=1556393207961,=833905952285.6855,=31.3951,=0.9201,=28.4174,=18.8567,=11.6729
2009-12-22,=3284.6100,,=2327287652610.2012,=1539441032528,=825236051136.3038,=31.0197,=0.9121,=28.4174,=18.7759,=11.6531
2009-12-21,=3395.5920,,=2401651642725.7002,=1584598449059,=852734675383.9358,=32.0123,=0.9404,=28.3489,=18.6952,=11.6531
2009-12-18,=3384.5820,,=2391958483524.2002,=1576858075414,=849949155985.7764,=31.5266,=0.9299,=28.3209,=18.6787,=11.6531
2009-12-17,=3482.5750,,=2450182669890.8989,=1615565639652,=874569698774.3601,=32.5162,=0.9479,=28.3168,=18.6623,=11.6531
2009-12-16,=3591.3790,,=2524130173423.3003,=1664021361979,=901979066499.3022,=33.4923,=0.9687,=28.2763,=18.6460,=11.6531
2009-12-15,=3625.3730,,=2548361905827.7988,=1679891440419,=910347559581.3364,=33.6203,=0.9738,=28.2763,=18.6296,=11.6503
2009-12-14,=3625.0940,,=2548282879737.7998,=1678773017504,=910271548112.6582,=33.6410,=0.9764,=28.2460,=18.6208,=11.6503
2009-12-11,=3608.5750,,=2534521522757.6011,=1670759221283,=906123005158.7500,=33.5645,=0.9763,=28.2005,=18.6120,=11.6503
2009-12-10,=3604.6180,,=2534622988943.2998,=1670798041343,=905204573992.1602,=33.6503,=0.9789,=28.1942,=18.5815,=11.6503
2009-12-09,=3591.6170,,=2524090483120.6001,=1666814832977,=901812536900.7540,=33.4035,=0.9788,=28.1038,=18.5510,=11.6503
2009-12-08,=3649.2010,,=2561297429049.1001,=1685443992428,=915173758704.1998,=34.0835,=0.9920,=28.1038,=18.5466,=11.6465
2009-12-07,=3684.1790,,=2587029641826.8003,=1702001890456,=923720338789.3402,=34.3279,=0.9973,=28.0613,=18.5423,=11.6465
2009-12-04,=3652.5740,,=2563058362364.4995,=1604421210367,=915784974372.6500,=33.9586,=0.9920,=28.0467,=18.5284,=11.6465
2009-12-03,=3666.5030,,=2561536723013.6001,=1608398174371,=919375767338.4800,=34.4011,=1,=27.9493,=18.5145,=11.6465
2009-12-02,=3633.5620,,=2538650117251.5000,=1594694548866,=911320874140.9596,=34.0850,=1,=27.8921,=18.5140,=11.6465
2009-12-01,=3606.6460,,=2525404010427.7988,=1582559294822,=904300260665.9600,=33.8576,=0.9973,=27.8921,=18.5135,=11.6157
2009-11-30,=3520.2230,,=2469073424174.2012,=1536925240765,=882692681352.6998,=33.1472,=0.9892,=27.7864,=18.5032,=11.6157
2009-11-27,=3371.1430,,=2359722583745.8999,=1471222875034,=845464068822.9697,=31.7861,=0.9730,=27.7613,=18.4930,=11.6157
2009-11-26,=3492.7960,,=2437874404953.6011,=1521229534412,=875756176821.3601,=32.4617,=0.9810,=27.7212,=18.4788,=11.6157
2009-11-25,=3629.8530,,=2532108773564.3003,=1584812117874,=910276709389.6200,=33.7830,=0.9973,=27.6628,=18.4647,=11.6157
2009-11-24,=3495.1520,,=2435775423203.8989,=1525931659469,=877043937827.9100,=32.4536,=0.9837,=27.6628,=18.4570,=11.5985
2009-11-23,=3608.1220,,=2512825414955.6011,=1570924683673,=905522787582.4399,=34.0380,=1,=27.5830,=18.4492,=11.5985
2009-11-20,=3547.1090,,=2475317393244.5991,=1546779602878,=890219355060.9100,=33.3664,=0.9973,=27.5038,=18.4342,=11.5985
2009-11-19,=3561.4600,,=2487759103481.0005,=1553723198544,=893871825836.2500,=33.3765,=1,=27.2470,=18.4192,=11.5985
