日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2021-10-19,=843.4200,=1032.1100,=3632352899844.2695,=2660151372845,=1670567075527.7598,=22.2070,=0.1382,=35.9276,=29.7256,=22.9342
2021-10-18,=838.7700,=1026.4200,=3606102483705.1509,=2630533998292,=1661447924345.6458,=22.0134,=0.1318,=35.9276,=29.7318,=22.9346
2021-10-15,=837.4800,=1024.8400,=3599884835070.2515,=2624756102288,=1658827660537.4175,=21.9753,=0.1314,=35.9276,=29.7356,=22.9495
2021-10-14,=838.1900,=1025.7100,=3607120664714.7588,=2634304715687,=1660560529946.7437,=22.1165,=0.1355,=35.9276,=29.7395,=22.9496
2021-10-13,=838.6500,=1026.2700,=3608301275501.6699,=2634977778264,=1661621544087.6504,=22.0996,=0.1345,=35.9635,=29.7399,=22.9496
2021-10-12,=836.0200,=1023.0500,=3597666812916.9800,=2626679066425,=1656148937343.8691,=22.0193,=0.1326,=35.9635,=29.7404,=22.9504
2021-10-11,=861.8000,=1054.6000,=3710107549132.6812,=2704023417049,=1707081086087.9529,=22.6147,=0.1636,=35.9635,=29.7418,=22.9519
2021-10-08,=867.5500,=1061.6400,=3743046125758.7500,=2724759498493,=1719482518675.3096,=22.8100,=0.1841,=35.9635,=29.7433,=22.9601
2021-09-30,=857.9200,=1049.8500,=3706910809117.8101,=2693745013377,=1700777862247.4102,=22.5362,=0.1568,=35.9635,=29.7469,=22.9632
2021-09-29,=859.3300,=1051.5800,=3718146287452.7910,=2699156704094,=1703225152688.7151,=22.6282,=0.1638,=35.9645,=29.7505,=22.9632
2021-09-28,=872.9400,=1068.2300,=3779104727668.8408,=2746962135537,=1731081600539.4939,=22.9519,=0.1984,=35.9645,=29.7506,=22.9789
