日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2019-08-08,=1128.6100,=1213.6700,=2722207764603.9004,=2172279379896,=1115486531939.2180,=19.7229,=0.0695,=36.1023,=32.3901,=26.3893
2019-08-07,=1122.1900,=1205.9700,=2699291345109.0991,=2152441314779,=1106169097036.4187,=19.6763,=0.0665,=36.1023,=32.4054,=26.4134
2019-08-06,=1122.2700,=1205.9600,=2699571905994.1001,=2151502058833,=1106763614251.7974,=19.6852,=0.0672,=36.1117,=32.4077,=26.4134
2019-08-05,=1150.9500,=1236.5100,=2746942472593.1997,=2186887311546,=1126673904045.2310,=20.1734,=0.0744,=36.1117,=32.4099,=26.4393
2019-08-02,=1166.6400,=1253.3800,=2802478449742.9004,=2229476609505,=1147594289912.5327,=20.4472,=0.0781,=36.1117,=32.4123,=26.4572
2019-08-01,=1183.6900,=1271.7000,=2832563032075.8003,=2250618749110,=1159792331065.1404,=20.7457,=0.0859,=36.1117,=32.4147,=26.4592
2019-07-31,=1185.9700,=1274.1400,=2835602412737.0996,=2251327460304,=1160155301334.7463,=20.7942,=0.0908,=36.1117,=32.4155,=26.5117
2019-07-30,=1191.1400,=1279.6900,=2849336333233.3003,=2259234700362,=1163719479782.6318,=20.8955,=0.0975,=36.1338,=32.4162,=26.5117
2019-07-29,=1185.7100,=1273.5200,=2845191849198.1997,=2257431025380,=1162660148964.5906,=20.8309,=0.0945,=36.1338,=32.4166,=26.5133
2019-07-26,=1183.5400,=1271.1800,=2833171285459.6011,=2246224180358,=1157908667623.6208,=20.7770,=0.0892,=36.1338,=32.4170,=26.5139
2019-07-25,=1182.1100,=1269.4400,=2815127303011.3999,=2230644194566,=1150896789978.6162,=20.7457,=0.0862,=36.1338,=32.4239,=26.5270
2019-07-24,=1179.9600,=1267.0900,=2805355417184.1992,=2222592707073,=1146748755709.6599,=20.7018,=0.0844,=36.1338,=32.4308,=26.5910
2019-07-23,=1167.7900,=1253.9800,=2785210042788.6001,=2206755512650,=1137090694200.6101,=20.4921,=0.0785,=36.1342,=32.4338,=26.5910
2019-07-22,=1151.7700,=1236.5200,=2742822410162.8003,=2176199370886,=1120992214162.7871,=20.2579,=0.0749,=36.1342,=32.4368,=26.5975
2019-07-19,=1175.6500,=1261.7300,=2765477113387.0005,=2194600307925,=1133263766038.7500,=20.6292,=0.0804,=36.1342,=32.4370,=26.6022
2019-07-18,=1167.4400,=1252.1000,=2742731981378.8003,=2177256541487,=1125151187922.4048,=20.5087,=0.0780,=36.1342,=32.4372,=26.6588
2019-07-17,=1188.1200,=1273.6800,=2784256921899.1001,=2207295502381,=1140450125613.4487,=20.8272,=0.0895,=36.1342,=32.4375,=26.6635
2019-07-16,=1188.0300,=1273.3800,=2784123181460.9004,=2207501853098,=1140063378142.3911,=20.8299,=0.0896,=36.1625,=32.4377,=26.6635
2019-07-15,=1186.5200,=1271.7600,=2790148488469.3003,=2212442518314,=1141847085141.2881,=20.7967,=0.0872,=36.1625,=32.4437,=26.6811
2019-07-12,=1181.3900,=1266.2600,=2778346571987.6997,=2203210501323,=1137562107788.2412,=20.7081,=0.0824,=36.1625,=32.4498,=26.6920
