日期,收盘点位,市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2005-12-29,=1169.8600,=2515741787034.2998,=653041414897,=622816753672.7235,=21.4688,=0.0348,=53.9764,=42.2039,=32.7417
2005-12-28,=1157.0300,=2488836921526.8027,=645240767167,=616016863822.4072,=21.2288,=0.0277,=53.9764,=42.2039,=32.7417
2005-12-27,=1154.2900,=2483387384993.7983,=644131651861,=614838006785.2120,=21.1985,=0.0273,=53.9764,=42.2039,=32.7417
2005-12-26,=1156.8200,=2491971387799.7012,=645080201414,=616678133169.1365,=21.2457,=0.0281,=53.9764,=42.2039,=32.7417
2005-12-23,=1144.8700,=2465192550334.0015,=640053829280,=612187877672.9244,=21.0656,=0.0219,=53.9764,=42.2039,=32.7417
2005-12-22,=1135.2400,=2445023295769.8999,=633922431187,=606493829542.4374,=20.8062,=0.0153,=53.9764,=42.2039,=32.7417
2005-12-21,=1130.7600,=2436970174146.7002,=630591375725,=603608710380.5853,=20.7233,=0.0128,=53.9764,=42.2039,=32.7417
2005-12-20,=1136.3400,=2450993542562.4995,=633979915244,=607297183530.1793,=20.8894,=0.0178,=53.9764,=42.2039,=32.7417
2005-12-19,=1131.7500,=2442872726547.5039,=631144277246,=605256757030.5496,=20.8743,=0.0174,=53.9764,=42.2039,=32.7417
2005-12-16,=1127.5100,=2432326824742.4995,=630132984245,=604781690170.8060,=20.8436,=0.0166,=53.9764,=42.2039,=32.7417
2005-12-15,=1123.5600,=2424811761081.3003,=626206487992,=601037703341.2972,=20.7046,=0.0124,=53.9764,=42.2039,=32.7417
2005-12-14,=1125.3900,=2428377451638.6978,=627618154033,=602967622416.8674,=20.7986,=0.0137,=53.9764,=42.2039,=32.7417
2005-12-13,=1117.8500,=2414037508324.6011,=622270408279,=597950528847.2072,=20.6470,=0.0103,=53.9764,=42.2039,=32.7417
2005-12-12,=1116.3700,=2411139017052.6001,=622377009427,=598454658882.9882,=20.6692,=0.0108,=53.9764,=42.2039,=32.7417
2005-12-09,=1113.4800,=2404611608018.2002,=620762026343,=597043931751.3634,=20.5765,=0.0087,=53.9764,=42.2039,=32.7417
2005-12-08,=1098.3200,=2374007584136.7012,=611363798844,=588726764813.1711,=20.2765,=0.0058,=53.9764,=42.2039,=32.7417
2005-12-07,=1099.6100,=2377101381238.0991,=612332577688,=589769267998.5786,=20.3077,=0.0058,=53.9764,=42.2039,=32.7417
2005-12-06,=1087.7900,=2351927994704.3003,=606742693347,=584614941044.2489,=20.1733,=0.0041,=53.9764,=42.2039,=32.7417
2005-12-05,=1079.2000,=2333254985582.9019,=603360718741,=581610789845.4323,=20.1307,=0.0037,=53.9764,=42.2039,=32.7417
2005-12-02,=1094.2900,=2366105469917.1011,=614027618506,=592018321207.3568,=20.5784,=0.0070,=53.9764,=42.2039,=32.7417
2005-12-01,=1098.7500,=2374767711880.4004,=618253296911,=596151174954.8207,=20.7776,=0.0095,=53.9764,=42.2039,=32.7417
2005-11-30,=1099.2600,=2377634537214.3018,=618983083401,=597892874968.4012,=20.8042,=0.0099,=53.9764,=42.2039,=32.7417
2005-11-29,=1096.9900,=2375505005670.3003,=617541515768,=597472600499.8657,=20.7823,=0.0095,=53.9764,=42.2039,=32.7417
2005-11-28,=1110.8200,=2405887495395.6021,=625532685272,=605410637977.0354,=21.0770,=0.0145,=53.9764,=42.2039,=32.7417
2005-11-25,=1114.9200,=2414217675021.7012,=628018988380,=607939015528.8236,=21.1750,=0.0174,=53.9764,=42.2039,=32.7417
2005-11-24,=1113.3700,=2412700606795.9995,=626947195780,=607320301454.6405,=21.1696,=0.0170,=53.9764,=42.2039,=32.7417
2005-11-23,=1105.7500,=2396943717192.3013,=622988040246,=603965311794.6337,=21.0803,=0.0145,=53.9764,=42.2039,=32.7417
2005-11-22,=1098.6600,=2382529956216.8008,=618140315444,=599444945367.1707,=20.9483,=0.0124,=53.9764,=42.2039,=32.7417
2005-11-21,=1119.9400,=2430457995548.5020,=629172643217,=610223062130.5088,=21.3293,=0.0199,=53.9764,=42.2039,=32.7417
2005-11-18,=1117,=2431102356169.3999,=628041405452,=610365985963.8488,=21.2987,=0.0190,=53.9764,=42.2039,=32.7417
2005-11-17,=1095.3100,=2384490230540.5015,=614941371912,=597751628088.7238,=20.8255,=0.0099,=53.9764,=42.2039,=32.7417
2005-11-16,=1095.8900,=2385745174435.6997,=615403605779,=598214355678.1379,=20.8516,=0.0108,=53.9764,=42.2039,=32.7417
