日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2021-12-21,=3273.0300,=4864.9100,=20669115993390.8398,=17091839126178,=7788316014642.8379,=12.8223,=0.6720,=13.6312,=11.8479,=10.6857
2021-12-20,=3255.3500,=4838.6300,=20559816534576.9727,=17011590532435,=7745608758646.0303,=12.7023,=0.6519,=13.6312,=11.8467,=10.6857
2021-12-17,=3278.9000,=4873.6300,=20674886069287.1016,=17103900208817,=7804514210610.5576,=12.7325,=0.6568,=13.6312,=11.8440,=10.6857
2021-12-16,=3330.8600,=4950.8500,=20947924080044.0352,=17345268517396,=7924814376701.5635,=12.8161,=0.6712,=13.6312,=11.8421,=10.6857
2021-12-15,=3318.9800,=4933.2000,=20837282429510.8320,=17262627848132,=7893942843814.6064,=12.6846,=0.6498,=13.6312,=11.8403,=10.6857
2021-12-14,=3350.5000,=4980.0500,=20990632430095.4883,=17399107751305,=7971021136910.5303,=12.6885,=0.6510,=13.6312,=11.8378,=10.6857
2021-12-13,=3366.0700,=5003.1900,=21119849581594.3828,=17485261715947,=8013248423110.9297,=12.8768,=0.6770,=13.6312,=11.8355,=10.6857
2021-12-10,=3353.6300,=4984.7100,=19809791179177.3555,=16650989686105,=7818699650525.1221,=12.3090,=0.5893,=13.6312,=11.8347,=10.6857
2021-12-09,=3360.1800,=4994.4500,=19873787739913.3203,=16700434229683,=7834043890663.0693,=12.3697,=0.5996,=13.6312,=11.8222,=10.6857
2021-12-08,=3304.7100,=4911.9900,=19548242379464.7539,=16435922469555,=7706610174707.8701,=12.2141,=0.5712,=13.6312,=11.8199,=10.6857
2021-12-07,=3254.5000,=4837.3600,=19320362422402.1406,=16035543068826,=7591704990728.2998,=12.1849,=0.5667,=13.6312,=11.8197,=10.6857
2021-12-06,=3228.1400,=4798.1800,=19178220033279.2578,=15921381831508,=7531571945533.8604,=12.0462,=0.5395,=13.6312,=11.8179,=10.6857
2021-12-03,=3221.4200,=4788.2000,=19153961671450.3906,=15910372990129,=7517421238466.9902,=12.0007,=0.5313,=13.6312,=11.8139,=10.6857
2021-12-02,=3190.8700,=4742.7900,=18984544979026.3672,=15763876539248,=7449761544339.6719,=11.9242,=0.5189,=13.6312,=11.8081,=10.6857
2021-12-01,=3180.4200,=4727.2500,=18916303505658.6328,=15707447663470,=7424122130027.2100,=11.8378,=0.5037,=13.6312,=11.8076,=10.6857
2021-11-30,=3165.3500,=4704.8500,=18780937632859.3281,=15606367194602,=7384113872015.9580,=11.7159,=0.4881,=13.6312,=11.8019,=10.6857
2021-11-29,=3187.0500,=4737.1000,=18865670757511,=15694396681690,=7430753967256.0215,=11.7280,=0.4893,=13.6312,=11.8019,=10.6857
2021-11-26,=3187.3600,=4737.5600,=18896769845827.1133,=15704494844574,=7430850438649.4990,=11.7930,=0.4984,=13.6312,=11.8019,=10.6857
2021-11-25,=3218.0500,=4783.1900,=19086547694438.1328,=15854114934075,=7502546497617.0303,=11.9164,=0.5185,=13.6312,=11.8019,=10.6857
2021-11-24,=3231.8400,=4803.6700,=19178313584892.2617,=15926927363870,=7534742105706.1143,=11.9775,=0.5267,=13.6312,=11.8010,=10.6857
2021-11-23,=3224.1500,=4792.2600,=19096430124495.7695,=15856845363867,=7517284054502.3174,=11.9502,=0.5243,=13.6312,=11.8006,=10.6857
2021-11-22,=3212.1500,=4774.4200,=19040258534780.5195,=15799688179726,=7489129764009.6904,=11.9120,=0.5193,=13.6312,=11.7947,=10.6857
2021-11-19,=3212.9100,=4775.5400,=19057999507728.3594,=15809494781194,=7494056706927.5098,=11.9896,=0.5288,=13.6312,=11.7929,=10.6857
2021-11-18,=3173.3800,=4716.7800,=18823873937375.3047,=15619783507151,=7401306733529.5303,=11.8199,=0.5045,=13.6312,=11.7835,=10.6857
2021-11-17,=3208.7800,=4769.4000,=18991686672487.5469,=15761305332011,=7484892645967.6084,=11.9221,=0.5202,=13.6312,=11.7835,=10.6857
2021-11-16,=3222.1700,=4788.7200,=19044841948756.2422,=15807526472512,=7517290396297.3799,=11.9517,=0.5251,=13.6312,=11.7835,=10.6857
2021-11-15,=3221.6900,=4788,=19044286804155.6484,=15790734779854,=7519300498735.4883,=12.0217,=0.5346,=13.6312,=11.7835,=10.6857
2021-11-12,=3220.5500,=4786.3000,=19019818631113.7070,=15766189693692,=7513961489869.6299,=12.0247,=0.5358,=13.6312,=11.7835,=10.6857
2021-11-11,=3233.3700,=4805.3600,=19084193785334.1563,=15817195745245,=7542819046483.4424,=12.0720,=0.5444,=13.6312,=11.7835,=10.6857
