日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2024-09-20,=3201.0500,=4572.7700,=47304031619393.1719,=35084249422619,=15688059069463.9512,=18.3089,=0.0469,=29.0416,=25.3356,=21.0747
2024-09-19,=3196.0400,=4565.3200,=47142472155333.5547,=34998323996892,=15664126014450.4648,=18.4633,=0.0510,=29.0416,=25.3386,=21.0759
2024-09-18,=3171.0100,=4528.8700,=46997994464350.8594,=34870418403734,=15543524880445.0059,=18.1285,=0.0420,=29.0416,=25.3386,=21.0818
2024-09-13,=3159.2500,=4512.0700,=46609242610403.8672,=34627110305234,=15483013204191.4746,=18.1755,=0.0432,=29.0408,=25.3356,=21.0891
2024-09-12,=3172.4700,=4530.3600,=46683037381403.3672,=34754448025724,=15543914838691.3066,=18.1709,=0.0428,=29.0416,=25.3386,=21.0891
2024-09-11,=3186.1300,=4549.8600,=46794194449748.6328,=34842074759970,=15606668988429.0566,=18.3893,=0.0461,=29.0416,=25.3388,=21.0950
2024-09-10,=3195.7600,=4562.6800,=47262206784451.6875,=35114217038345,=15657680387575.9453,=18.4176,=0.0477,=29.0416,=25.3388,=21.0951
2024-09-09,=3192.9500,=4558.6700,=47051406042098.2578,=35014469236991,=15641750731794.4746,=18.3301,=0.0456,=29.0416,=25.3419,=21.0961
2024-09-06,=3231.3500,=4612.7700,=47645109957599.1016,=35441234354389,=15834052834351.1602,=18.4039,=0.0461,=29.0416,=25.3481,=21.0988
2024-09-05,=3257.7600,=4650.4700,=47922462973510.5000,=35687194169715,=15960172586682.1895,=18.5484,=0.0518,=29.0416,=25.3527,=21.0990
2024-09-04,=3252.1600,=4642.1600,=47991194337394.0078,=35701341858786,=15930794535869.7207,=18.5780,=0.0535,=29.0416,=25.3527,=21.0994
2024-09-03,=3273.4300,=4672.4200,=48416935604208.5938,=35989359336874,=16034138507587.5781,=18.4667,=0.0481,=29.0416,=25.3527,=21.1015
2024-09-02,=3265.0100,=4660.4100,=48678033406073.2969,=36144522984797,=15997665999520.8164,=18.5173,=0.0510,=29.0416,=25.3527,=21.1169
2024-08-30,=3321.4300,=4740.3400,=49204178020457.2344,=36530725751075,=16263348589705.8242,=18.5743,=0.0522,=29.0416,=25.3481,=21.1234
2024-08-29,=3277.6800,=4677.9000,=48992172793453.5078,=36263998328443,=16057759414084.6895,=18.3960,=0.0457,=29.0416,=25.3527,=21.1284
2024-08-28,=3286.5000,=4690.4800,=49577186984655.1406,=36604449038722,=16116567239395.5645,=17.9877,=0.0387,=29.0416,=25.3527,=21.1292
2024-08-27,=3305.3300,=4714.4500,=49882479036357.3438,=36850463054513,=16191485351170.3203,=18.2098,=0.0432,=29.0416,=25.3527,=21.1306
2024-08-26,=3324.2200,=4741.3900,=49799323911874.5938,=36878325325311,=16281440926390.4023,=18.4864,=0.0477,=29.0416,=25.3527,=21.1325
2024-08-23,=3327.1900,=4744.3500,=49786588477792.4219,=36907678720880,=16279879268398.5293,=18.6853,=0.0535,=29.0416,=25.3481,=21.1341
2024-08-22,=3313.1400,=4723.1200,=49604255214021.5469,=36768465824265,=16207104517753.4277,=18.5164,=0.0490,=29.0416,=25.3527,=21.1347
2024-08-21,=3321.6400,=4735.1500,=49547851913594.9766,=36752152570260,=16247977616184.5449,=18.6792,=0.0522,=29.0416,=25.3527,=21.1388
2024-08-20,=3332.7000,=4750.7200,=49715733385063.3672,=36866042233518,=16302034231273.0176,=18.7692,=0.0543,=29.0416,=25.3527,=21.1413
2024-08-19,=3356.9700,=4784.8800,=49983976562308.3594,=37096417652447,=16412980990281.6797,=18.9728,=0.0605,=29.0416,=25.3527,=21.1519
2024-08-16,=3345.6300,=4768.6600,=49663128506545.3594,=36877875067397,=16359516667121.9141,=18.9462,=0.0588,=29.0416,=25.3481,=21.1523
2024-08-15,=3341.9500,=4761.4900,=49441104862932.4844,=36753422771430,=16341482682028.0449,=18.9470,=0.0588,=29.0416,=25.3527,=21.1545
2024-08-14,=3309.2400,=4714.1400,=48943591080850.9922,=36399235481323,=16181092779536.8359,=18.8519,=0.0564,=29.0416,=25.3527,=21.1706
2024-08-13,=3334.3900,=4748.9700,=49135897393651.4375,=36600243934494,=16300969973720.5000,=18.9597,=0.0588,=29.0416,=25.3527,=21.1798
2024-08-12,=3325.8600,=4736.8000,=48958643138028.7422,=36496001483334,=16258885121012.7832,=18.9426,=0.0580,=29.0416,=25.3527,=21.1858
2024-08-09,=3331.6300,=4745,=49007462286905.3125,=36519246364288,=16287298272142.7402,=19.0145,=0.0604,=29.0416,=25.3481,=21.1908
2024-08-08,=3342.9400,=4759.6900,=49042988574250.1719,=36561216529241,=16340419096363.8828,=19.2121,=0.0650,=29.0416,=25.3527,=21.2032
2024-08-07,=3341.4900,=4757.0200,=49032200785388.9297,=36533317789802,=16333029575901.6133,=19.0960,=0.0617,=29.0416,=25.3527,=21.2212
2024-08-06,=3342.9800,=4759.1400,=48978907790516.0625,=36497930645331,=16339201290804.4570,=18.9995,=0.0588,=29.0416,=25.3527,=21.2213
2024-08-05,=3343.3200,=4759.5200,=49123336292346.6563,=36567845668190,=16343448187675.3906,=18.8268,=0.0559,=29.0416,=25.3527,=21.2238
2024-08-02,=3384.3900,=4817.9600,=49754430293551.0625,=37023704301556,=16544623333476.2422,=19.2387,=0.0654,=29.0416,=25.3481,=21.2295
2024-08-01,=3419.2700,=4867.6100,=50165900373865.7891,=37356043072285,=16715050778433.6543,=19.3911,=0.0703,=29.0416,=25.3527,=21.2358
2024-07-31,=3442.0800,=4899.8200,=50304315683348.3828,=37510172278749,=16822909311816.8770,=19.5398,=0.0749,=29.0416,=25.3527,=21.2448
2024-07-30,=3369.3800,=4796.3100,=49664823024419.3984,=36921892630162,=16469934003660.8359,=19.2234,=0.0646,=29.0416,=25.3527,=21.2661
2024-07-29,=3390.7400,=4825.6000,=50045693556448.6328,=37226337666943,=16576197213751.8887,=19.4489,=0.0716,=29.0416,=25.3527,=21.2731
2024-07-26,=3409.2900,=4851.2200,=50029212082881.2266,=37274367593053,=16661752962892.6895,=19.7138,=0.0826,=29.0416,=25.3481,=21.2754
2024-07-25,=3399.2700,=4831.0300,=50231785099949.1406,=37300904072676,=16615090215462.0996,=19.3267,=0.0683,=29.0416,=25.3527,=21.2835
2024-07-24,=3418.1700,=4857.5200,=50625090904741.5781,=37567967670907,=16708876657315.0137,=19.4720,=0.0720,=29.0416,=25.3527,=21.2917
2024-07-23,=3439.8800,=4886.8800,=50738705032692.5469,=37690607070578,=16817733318496.9766,=19.7707,=0.0839,=29.0416,=25.3527,=21.3003
